,,,,,,,
,,,,,,,
,"U.S. unemployment rate, by education 1992-2020",,,,,,
,"Unemployment rate in the United States from 1992-2020, by level of education",,,,,,
,,Less than a high school diploma,"High school graduates, no college","Some college, no degree",Associate degree,Bachelor's degree and higher,
,'92,11.50,6.80,6,4.80,3.20,in %
,'93,10.80,6.30,5.60,4.40,2.90,in %
,'94,9.80,5.40,4.70,3.80,2.60,in %
,'95,9,4.80,4.30,3.30,2.40,in %
,'96,8.70,4.70,4,3.30,2.20,in %
,'97,8.10,4.30,3.50,2.70,2,in %
,'98,7.10,4,3.20,2.50,1.80,in %
,'99,6.70,3.50,3,2.50,1.80,in %
,'00,6.30,3.40,2.90,2.30,1.70,in %
,'01,7.20,4.20,3.50,2.90,2.30,in %
,'02,8.40,5.30,4.80,4,2.90,in %
,'03,8.80,5.50,5.20,4,3.10,in %
,'04,8.50,5,4.50,3.70,2.70,in %
,'05,7.60,4.70,4.20,3.30,2.30,in %
,'06,6.80,4.30,3.90,3,2,in %
,'07,7.10,4.40,3.80,3,2,in %
,'08,9,5.70,5.10,3.70,2.60,in %
,'09,14.60,9.70,8.60,6.80,4.60,in %
,'10,14.90,10.30,9.20,7,4.70,in %
,'11,14.10,9.40,8.70,6.80,4.30,in %
,'12,12.40,8.30,7.70,6.20,4,in %
,'13,11,7.50,7,5.40,3.70,in %
,'14,9,6,6,4.50,3.20,in %
,'15,8,5.40,5,3.80,2.60,in %
,'16,7.40,5.20,4.40,3.60,2.50,in %
,'17,6.50,4.60,4,3.40,2.30,in %
,'18,5.60,4.10,3.70,2.80,2.10,in %
,'19,5.40,3.70,3.30,2.70,2.10,in %
,'20,11.70,9,8.30,7.10,4.80,in %
